archivo,registros,fecha_procesado
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=1/2019-01-01_performance_fixed_tiles.parquet,21287,2025-10-20 01:25:17.479820
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=2/2019-04-01_performance_fixed_tiles.parquet,21194,2025-10-20 01:26:15.775996
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=3/2019-07-01_performance_fixed_tiles.parquet,29529,2025-10-20 01:27:16.945123
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=4/2019-10-01_performance_fixed_tiles.parquet,39313,2025-10-20 01:28:23.470292
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2021/quarter=3/2021-07-01_performance_fixed_tiles.parquet,61629,2025-10-20 01:34:01.656690
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=1/2019-01-01_performance_fixed_tiles.parquet,21287,2025-10-20 23:49:50.834747
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=2/2019-04-01_performance_fixed_tiles.parquet,21194,2025-10-20 23:50:38.491821
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=3/2019-07-01_performance_fixed_tiles.parquet,29529,2025-10-20 23:51:40.596694
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2019/quarter=4/2019-10-01_performance_fixed_tiles.parquet,39313,2025-10-20 23:52:49.501481
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2020/quarter=1/2020-01-01_performance_fixed_tiles.parquet,22150,2025-10-20 23:53:32.405323
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2020/quarter=2/2020-04-01_performance_fixed_tiles.parquet,25803,2025-10-20 23:54:15.955605
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2020/quarter=3/2020-07-01_performance_fixed_tiles.parquet,26675,2025-10-20 23:55:06.621150
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2020/quarter=4/2020-10-01_performance_fixed_tiles.parquet,22425,2025-10-20 23:55:40.571610
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2021/quarter=1/2021-01-01_performance_fixed_tiles.parquet,25702,2025-10-20 23:56:20.460494
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2021/quarter=2/2021-04-01_performance_fixed_tiles.parquet,26713,2025-10-20 23:57:03.918740
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2021/quarter=3/2021-07-01_performance_fixed_tiles.parquet,61629,2025-10-20 23:58:11.956381
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2021/quarter=4/2021-10-01_performance_fixed_tiles.parquet,25952,2025-10-20 23:58:53.158185
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2022/quarter=1/2022-01-01_performance_fixed_tiles.parquet,61578,2025-10-20 23:59:58.023822
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2022/quarter=2/2022-04-01_performance_fixed_tiles.parquet,60868,2025-10-21 00:00:59.552754
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2022/quarter=3/2022-07-01_performance_fixed_tiles.parquet,60585,2025-10-21 00:02:11.934877
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2022/quarter=4/2022-10-01_performance_fixed_tiles.parquet,60679,2025-10-21 00:03:16.575675
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2023/quarter=1/2023-01-01_performance_fixed_tiles.parquet,59767,2025-10-21 00:04:15.637694
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2023/quarter=2/2023-04-01_performance_fixed_tiles.parquet,62888,2025-10-21 00:05:19.129953
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2023/quarter=3/2023-07-01_performance_fixed_tiles.parquet,64999,2025-10-21 00:06:21.553152
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2023/quarter=4/2023-10-01_performance_fixed_tiles.parquet,67741,2025-10-21 00:07:26.894692
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2024/quarter=1/2024-01-01_performance_fixed_tiles.parquet,68317,2025-10-21 00:08:30.422001
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2024/quarter=2/2024-04-01_performance_fixed_tiles.parquet,68120,2025-10-21 00:09:32.360902
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2024/quarter=3/2024-07-01_performance_fixed_tiles.parquet,71379,2025-10-21 00:10:36.980929
/content/gdrive/MyDrive/trabajoGrado/ookla_colombia/2024/quarter=4/2024-10-01_performance_fixed_tiles.parquet,70615,2025-10-21 00:11:38.970517
