archivo,hojas_cargadas,filas_totales,fecha_cargue,estado
reporte_tic_segundo_trimestre_2025.xlsx,21,2349811,2025-11-12 20:54:30.836810,"ERROR_HOJA:18:Passed header=[4], len of 1, but only 4 lines in file (sheet: 18)"
articles-406102_archivo_xls.xlsx,0,0,2025-11-12 19:50:26.395185,OK
articles-407454_archivo_xls.xlsx,0,0,2025-11-12 19:50:24.786946,"ERROR_HOJA:3:Passed header=[4], len of 1, but only 4 lines in file (sheet: 3)"
articles-417629_recurso_1.xlsx,21,2349811,2025-11-12 19:47:47.034690,"ERROR_HOJA:18:Passed header=[4], len of 1, but only 4 lines in file (sheet: 18)"
articles_404030_archivo_xls.xlsx,21,2363737,2025-10-23 18:32:13.245150,"ERROR_HOJA:18:Passed header=[4], len of 1, but only 4 lines in file (sheet: 18)"
articles_407454_archivo_xls.xlsx,3,864401,2025-10-23 18:26:17.344438,"ERROR_HOJA:3:Passed header=[4], len of 1, but only 4 lines in file (sheet: 3)"
articles_406102_archivo_xls.xlsx,3,11398,2025-10-23 18:23:45.249435,OK
reporte_tic_tercer_trimestre_2024.xlsx,22,2364691,2025-10-23 02:24:33.008973,OK
reporte_tic_cuarto_trimestre_2024.xlsx,23,2365465,2025-10-23 02:18:42.719431,OK
reporte_tic_segundo_trimestre_2024.xlsx,23,2269671,2025-10-23 02:12:54.000494,OK
boletn_trimestral_del_sector_tic_cifras_primer_trimestre_de_2025.xlsx,23,2363774,2025-10-23 02:07:11.672925,OK
boletn_trimestral_del_sector_postal_cifras_segundo_trimestre_de_2025.xlsx,3,11398,2025-10-23 01:57:11.487435,OK
boletn_trimestral_del_sector_de_tv_por_suscripcin_y_comunitaria_segundo_trimestre_de_2025.xlsx,5,864438,2025-10-23 01:57:10.044003,OK
reporte_tic_tercer_trimestre_2024.xlsx,22,2364691,2025-10-23 01:54:42.788831,OK
reporte_tic_cuarto_trimestre_2024.xlsx,23,2365465,2025-10-23 01:48:37.081886,OK
reporte_tic_segundo_trimestre_2024.xlsx,23,2269671,2025-10-23 01:42:30.891336,OK
boletn_trimestral_del_sector_tic_cifras_primer_trimestre_de_2025.xlsx,23,2363774,2025-10-23 01:36:41.124043,OK
boletn_trimestral_del_sector_tic_cifras_primer_trimestre_de_2025.xlsx,23,2363774,2025-10-23 00:53:09.498658,OK
boletn_trimestral_del_sector_postal_cifras_segundo_trimestre_de_2025.xlsx,3,11398,2025-10-23 00:47:16.851314,OK
boletn_trimestral_del_sector_de_tv_por_suscripcin_y_comunitaria_segundo_trimestre_de_2025.xlsx,5,864438,2025-10-23 00:47:14.302803,OK
boletn_trimestral_del_sector_tic_cifras_primer_trimestre_de_2025.xlsx,23,2363774,2025-10-23 00:05:23.784276,OK
boletn_trimestral_del_sector_postal_cifras_segundo_trimestre_de_2025.xlsx,3,11398,2025-10-22 23:59:30.258124,OK
boletn_trimestral_del_sector_de_tv_por_suscripcin_y_comunitaria_segundo_trimestre_de_2025.xlsx,5,864438,2025-10-22 23:59:28.789589,OK
