AÑO,TRIMESTRE,DEPARTAMENTO_N,MUNICIPIO_N,vel_subida_tic,vel_bajada_tic,vel_subida_ookla,vel_bajada_ookla,ratio_subida,ratio_bajada,INCTIC,nivel_coherencia
2022.0,3.0,CAUCA,SANTANDER DE QUILICHAO,12.5,25.0,1.631,3.46,0.13048,0.1384,0.13444,MUY BAJA
2022.0,3.0,ANTIOQUIA,AMALFI,6.0,12.0,0.741,2.982,0.1235,0.24850000000000003,0.186,MUY BAJA
2022.0,3.0,ANTIOQUIA,BELLO,45.5,200.0,1.951,13.122,0.04287912087912088,0.06561,0.05424456043956044,MUY BAJA
2022.0,3.0,ANTIOQUIA,CAROLINA,5.0,8.0,0.861,4.222,0.1722,0.52775,0.34997500000000004,MUY BAJA
2022.0,3.0,ANTIOQUIA,GOMEZ PLATA,5.0,15.0,0.882,1.674,0.1764,0.11159999999999999,0.144,MUY BAJA
2022.0,3.0,ANTIOQUIA,MACEO,5.0,7.0,0.463,8.889,0.0926,1.2698571428571428,0.6812285714285714,BAJA
2022.0,3.0,ANTIOQUIA,YALI,4.0,8.0,1.203,5.192,0.30075,0.649,0.47487500000000005,MUY BAJA
2022.0,3.0,ANTIOQUIA,PENOL,4.0,7.0,3.152,6.672,0.788,0.9531428571428571,0.8705714285714286,COHERENTE
2022.0,3.0,TOLIMA,PRADO,1.0,3.0,14.085,19.083,14.085,6.361,10.223,MUY ALTA
2022.0,3.0,TOLIMA,PURIFICACION,2.0,8.0,4.765,3.687,2.3825,0.460875,1.4216875,ALTA
2022.0,3.0,QUINDIO,ARMENIA,3.0,6.0,2.262,10.407,0.754,1.7345,1.24425,ALTA
2022.0,3.0,QUINDIO,BUENAVISTA,1.5,3.0,0.784,2.42,0.5226666666666667,0.8066666666666666,0.6646666666666667,BAJA
2022.0,3.0,QUINDIO,CALARCA,5.0,10.0,0.779,1.346,0.1558,0.1346,0.1452,MUY BAJA
2022.0,3.0,QUINDIO,CIRCASIA,2.5,5.0,1.768,2.876,0.7072,0.5751999999999999,0.6412,BAJA
2022.0,3.0,QUINDIO,CORDOBA,3.0,6.0,4.744,9.86,1.5813333333333333,1.6433333333333333,1.6123333333333334,ALTA
2022.0,3.0,QUINDIO,FILANDIA,3.0,6.0,0.413,0.243,0.13766666666666666,0.0405,0.08908333333333333,MUY BAJA
2022.0,3.0,QUINDIO,GENOVA,2.0,4.0,1.0,4.503,0.5,1.12575,0.812875,COHERENTE
2022.0,3.0,QUINDIO,LA TEBAIDA,3.0,6.0,11.25,19.816,3.75,3.3026666666666666,3.5263333333333335,MUY ALTA
2022.0,3.0,QUINDIO,MONTENEGRO,5.0,10.0,0.317,0.734,0.0634,0.07339999999999999,0.06839999999999999,MUY BAJA
