DEPARTAMENTO_N,Promedio,Mediana,Municipios
VAUPES,1.481,1.481,2
AMAZONAS,1.072,0.773,4
CORDOBA,0.988,0.758,23
ARAUCA,0.919,0.69,7
META,0.904,0.543,17
ATLANTICO,0.878,0.692,17
BOYACA,0.869,0.502,88
CAUCA,0.867,0.515,20
MAGDALENA,0.812,0.539,25
TOLIMA,0.806,0.597,32
NARINO,0.805,0.607,41
CASANARE,0.75,0.808,14
CALDAS,0.749,0.387,23
CAQUETA,0.734,0.292,15
BOLIVAR,0.673,0.466,31
ANTIOQUIA,0.673,0.455,97
QUINDIO,0.644,0.641,11
RISARALDA,0.629,0.311,10
VALLE DEL CAUCA,0.62,0.397,25
CHOCO,0.585,0.184,8
LA GUAJIRA,0.578,0.307,11
CESAR,0.562,0.393,16
HUILA,0.557,0.269,30
NORTE DE SANTANDER,0.548,0.407,22
SANTANDER,0.536,0.219,71
CUNDINAMARCA,0.502,0.349,85
GUAINIA,0.492,0.314,3
SUCRE,0.491,0.248,18
PUTUMAYO,0.467,0.177,9
VICHADA,0.288,0.238,4
GUAVIARE,0.083,0.088,3
